"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"82","Islam Indonesia Dihancurkan http://t.co/lNNfig8eby",FALSE,1,NA,2015-04-28 01:01:04,FALSE,NA,"592856020378120192",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",8,FALSE,FALSE,NA,NA
"83","RT @Shorim_: Nah ini!""@maspiyungan: ""Orang-orang Munafik Tata Dunia Baru &amp; Penolakan Hukuman Mati"" by @Fahrihamzah http://t.co/ziAC8V94bE""",FALSE,0,NA,2015-04-28 00:48:42,FALSE,NA,"592852908682653696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"84","RT @dwiasry: Saya termasuk org2 yg tdk salah pilih..#orgpintar☺RT“@maspiyungan: 'Sejak Awal Rakyat Sudah Salah Pilih Jokowi' http://t.co/g2…",FALSE,0,NA,2015-04-28 00:48:03,FALSE,NA,"592852743557111809",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"85","Wow! Ratusan Mahasiswa Solo Daftar Sebagai Relawan Penjemput Jokowi http://t.co/q3vcimOCKV",FALSE,3,NA,2015-04-28 00:46:05,FALSE,NA,"592852248172109824",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"86","'Sejak Awal Rakyat Sudah Salah Pilih Jokowi' http://t.co/e6sC7rM9Yh",FALSE,1,NA,2015-04-28 00:31:38,FALSE,NA,"592848612306083840",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"87","RT @nasgortrasi: @maspiyungan kasihan warga Jakarta, uang pajaknya dibuat utk membiayai prostitusi &amp; miras.
Na'udzubillah min dzalik https:…",FALSE,0,NA,2015-04-28 00:25:47,FALSE,NA,"592847139627212800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",11,TRUE,FALSE,NA,NA
"88","RT @BW_BudiWibawa: Pemimpin khianat, rakyat sekarat @maspiyungan: ""Poligami Dihujat, Zina Disertifikat"", Kiamat Sudah Dekat http://t.co/tx4…",FALSE,0,NA,2015-04-28 00:25:39,FALSE,NA,"592847105355579392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"89","RT @kiswantob: Tiap penyesalan akan ada hikmahnya, salah satu hikmahnya jangan tertipu dengan penampilan dan polesan media https://t.co/ssW…",FALSE,0,NA,2015-04-28 00:23:47,FALSE,NA,"592846635643863041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"90","RT @Trieslove: Beda @IwanPiliang7 beda @iwanfals  https://t.co/PqYB1K5eVb",FALSE,0,NA,2015-04-28 00:23:29,FALSE,NA,"592846562662993923",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"91","RT @chaoz_ri: ""Penelitian Kesehatan: Wanita yang Suka Berpakaian Ketat Terancam 11 Penyakit http://t.co/JdCYzLIzmX - @maspiyungan""",FALSE,0,NA,2015-04-28 00:23:18,FALSE,NA,"592846514839547905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"92","RT @gath24: Gentle..btw iwan yg ada fals nya kapan.. :)  https://t.co/JnDdlMBdTi",FALSE,0,NA,2015-04-28 00:23:09,FALSE,NA,"592846477547982849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",4,TRUE,FALSE,NA,NA
"93","RT @iraspertiwi: Standar ganda ahoax  !! @maspiyungan: ""Poligami Dihujat, Zina Disertifikat"", Kiamat Sudah Dekat http://t.co/wvs6KEzGxX""",FALSE,0,NA,2015-04-28 00:22:57,FALSE,NA,"592846428193587201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"94","RT @adiraharja: Ahox hrs beri contoh dulu, coba anak dan saudara perempuan jadi psk. Piye jal? https://t.co/S76uuVZrek",FALSE,0,NA,2015-04-28 00:22:38,FALSE,NA,"592846348736671744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",7,TRUE,FALSE,NA,NA
"95","Beginilah Cara Jokowi Menipu Buya Syafii http://t.co/jh8WqM9kcI",FALSE,5,NA,2015-04-28 00:21:35,FALSE,NA,"592846082662658048",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",3,FALSE,FALSE,NA,NA
"96","RT @rior_13033: @jokowi_do2 Almighty! LOL^^ ""@maspiyungan: Menyesal Dukung Jokowi, Iwan: Saya Akan Menebus Dosa http://t.co/RrHwDltvFf""",FALSE,0,NA,2015-04-28 00:19:40,FALSE,NA,"592845599751409666",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"97","RT @alpacino_masrie: Puji Tuhan ! ""@maspiyungan: Menyesal Dukung Jokowi, Iwan: 'Saya Akan Menebus Dosa' http://t.co/nIliNMmjVl""",FALSE,0,NA,2015-04-28 00:19:31,FALSE,NA,"592845563139399680",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"98","RT @asepwach: ""@maspiyungan: ""Poligami Dihujat, Zina Disertifikat"", Kiamat Sudah Dekat http://t.co/qEtdW8nkai"" #Ngahokisme",FALSE,0,NA,2015-04-28 00:19:27,FALSE,NA,"592845546139820034",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"99","RT @ombah2015: @maspiyungan Berarti saat dukung Jokowi dilakukan cara2 dosa yak?",FALSE,0,NA,2015-04-28 00:19:19,FALSE,NA,"592845514896502784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",1,TRUE,FALSE,NA,NA
"100","RT @Johnnay8x8: Dgn cara menurunkan. Jokowi ""@maspiyungan: Menyesal Dukung Jokowi, Iwan: 'Saya Akan Menebus Dosa' http://t.co/oGsZqWsoqL""",FALSE,0,NA,2015-04-28 00:19:09,FALSE,NA,"592845471661555714",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"101","Penelitian Kesehatan: Wanita yang Suka Berpakaian Ketat Terancam 11 Penyakit http://t.co/jD1AKjo0dl",FALSE,0,NA,2015-04-28 00:16:18,FALSE,NA,"592844755345768448",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"102","Menyesal Dukung Jokowi, Iwan: 'Saya Akan Menebus Dosa' http://t.co/F2TNJJpRit",FALSE,0,NA,2015-04-28 00:16:18,FALSE,NA,"592844754037174272",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"103","""Poligami Dihujat, Zina Disertifikat"", Kiamat Sudah Dekat http://t.co/WRJ7G8mn84",FALSE,1,NA,2015-04-28 00:16:18,FALSE,NA,"592844752992755712",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",13,FALSE,FALSE,NA,NA
"104","""Orang-orang Munafik Tata Dunia Baru &amp; Penolakan Hukuman Mati"" by @Fahrihamzah http://t.co/5M52GQUt2U",FALSE,0,NA,2015-04-28 00:16:18,FALSE,NA,"592844751956799489",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"105","Penelitian Kesehatan: Wanita yang Suka Berpakaian Ketat Terancam 11 Penyakit http://t.co/DBHUR00aC0",FALSE,0,NA,2015-04-28 00:09:04,FALSE,NA,"592842933272973316",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",4,FALSE,FALSE,NA,NA
"106","Menyesal Dukung Jokowi, Iwan: 'Saya Akan Menebus Dosa' http://t.co/EpzazLwnHJ",FALSE,1,NA,2015-04-28 00:09:03,FALSE,NA,"592842930399903744",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",3,FALSE,FALSE,NA,NA
"107","""Poligami Dihujat, Zina Disertifikat"", Kiamat Sudah Dekat http://t.co/jbcDEDdCjK",FALSE,3,NA,2015-04-28 00:09:02,FALSE,NA,"592842926566309888",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"108","Penelitian Kesehatan: Wanita yang Suka Berpakaian Ketat Terancam 11 Penyakit http://t.co/l0OmUSmyYv",FALSE,0,NA,2015-04-27 23:57:11,FALSE,NA,"592839942834913281",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"109","RT @safrudi53158735: Disaat rakyat(korban) sdh berjatuhan:). ""@maspiyungan: Menyesal Dukung Jokowi, Iwan: Saya Akan Menebus Dosa http://t.c…",FALSE,0,NA,2015-04-27 23:51:17,FALSE,NA,"592838460278472704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",12,TRUE,FALSE,NA,NA
"110","RT @SuaraKawan1: Kebenaran akan nampak, siapa yg munafik !!! RT""@maspiyungan: Poligami Dihujat, Zina Disertifikat, Kiamat Sudah Dekat http:…",FALSE,0,NA,2015-04-27 23:51:12,FALSE,NA,"592838435825672194",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",10,TRUE,FALSE,NA,NA
"111","RT @winprakarsa: CADAS!!! ""@maspiyungan: ""Orang-orang Munafik Tata Dunia Baru &amp; Penolakan Hukuman Mati"" by @Fahrihamzah http://t.co/78eJ050…",FALSE,0,NA,2015-04-27 23:31:57,FALSE,NA,"592833592738349056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",6,TRUE,FALSE,NA,NA
"112","Menyesal Dukung Jokowi, Iwan: Saya Akan Menebus Dosa http://t.co/17JTbizgqI",FALSE,3,NA,2015-04-27 23:31:36,FALSE,NA,"592833503424847872",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",11,FALSE,FALSE,NA,NA
"113","RT @safrudi53158735: Azab didepan mata:) ""@maspiyungan: Poligami Dihujat, Zina Disertifikat, Kiamat Sudah Dekat http://t.co/SyTuhZxpnD""",FALSE,0,NA,2015-04-27 23:23:17,FALSE,NA,"592831411561848833",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",10,TRUE,FALSE,NA,NA
"114","RT @minato008: Naini ""@maspiyungan: Poligami Dihujat, Zina Disertifikat, Kiamat Sudah Dekat http://t.co/Cn7ATKQu3a""",FALSE,0,NA,2015-04-27 23:23:05,FALSE,NA,"592831361884528640",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"115","RT @CeceMr: Realita &amp; Fakta. ""@maspiyungan: ""Orang-orang Munafik Tata Dunia Baru &amp; Penolakan Hukuman Mati"" by @Fahrihamzah http://t.co/aePO…",FALSE,0,NA,2015-04-27 23:23:01,FALSE,NA,"592831343375097856",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",2,TRUE,FALSE,NA,NA
